Time,Eul_A,Eul_B,Eul_C
0.000000,2.065204,0.836646,-0.930108
0.000000,1.713425,0.903665,-1.233923
0.000000,1.324703,0.905607,-1.633071
0.000000,1.106695,0.943130,-1.851179
0.000000,1.148058,0.971619,-1.744033
0.000000,1.290899,1.000239,-1.637822
0.000000,1.472359,0.974106,-1.518935
0.000000,1.656554,0.922643,-1.391384
0.000000,1.934035,0.846853,-1.188134
0.000000,2.293148,0.704956,-0.985711
0.000000,2.666754,0.474844,-0.806401
0.000000,2.960606,0.255366,-0.703848
0.000000,-3.060266,0.011000,-0.759256
0.000000,-2.797714,-0.198093,-0.871233
0.000000,-2.677945,-0.381163,-1.000533
0.000000,-2.678970,-0.527761,-1.030298
0.000000,-2.644135,-0.526835,-1.114787
0.000000,-2.662042,-0.438741,-1.071308
0.000000,-2.705223,-0.352026,-0.959267
0.000000,-2.775364,-0.327841,-0.845502
0.000000,-2.872571,-0.269864,-0.677823
0.000000,-2.919601,-0.131781,-0.480630
0.000000,-2.944356,0.049620,-0.296791
0.000000,-2.952736,0.193403,-0.123192
0.000000,-2.928587,0.316876,0.054342
0.000000,-2.894143,0.381163,0.211936
0.000000,-2.855885,0.447596,0.358460
0.000000,-2.835192,0.497238,0.433061
0.000000,-2.852250,0.522675,0.434408
0.000000,-2.899347,0.515994,0.356806
0.000000,-2.933349,0.463185,0.255182
0.000000,-2.978972,0.354584,0.110704
0.000000,-3.049644,0.204421,-0.091030
0.000000,-3.046378,0.034807,-0.300617
0.000000,-3.011509,-0.113041,-0.473548
0.000000,-2.955379,-0.195646,-0.590944
0.000000,-2.923818,-0.203808,-0.637409
0.000000,-2.905315,-0.196054,-0.662330
0.000000,-2.880386,-0.210757,-0.646445
0.000000,-2.831183,-0.241542,-0.616801
0.000000,-2.869044,-0.219765,-0.519859
0.000000,-2.905809,-0.190144,-0.491444
0.000000,-2.865217,-0.146524,-0.429303
0.000000,-2.776753,-0.154210,-0.395929
0.000000,-2.771285,-0.143492,-0.334529
0.000000,-2.825185,-0.104389,-0.240199
0.000000,-2.859861,-0.034207,-0.187782
0.000000,-2.843831,0.004200,-0.162091
0.000000,-2.814453,-0.013600,-0.163965
0.000000,-2.753704,-0.079684,-0.221236
0.000000,-2.699000,-0.148343,-0.261110
0.000000,-2.660122,-0.222225,-0.283425
0.000000,-2.660122,-0.222225,-0.283425
0.000000,-2.662497,-0.207077,-0.257521
0.000000,-2.697554,-0.176515,-0.226159
0.000000,-2.699545,-0.161096,-0.201131
0.000000,-2.699545,-0.161096,-0.201131
0.000000,-2.681977,-0.159475,-0.203115
